日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-11-06,300800,19.28,23.33,23.33,19.28,8179,59594710.0,25.47,46.73,7.43,4.09
2019-11-07,300800,24.02,25.76,25.76,22.04,87178,668223216.0,15.95,10.42,2.43,43.59
2019-11-08,300800,25.69,28.43,28.43,25.34,56134,476588384.0,12.0,10.36,2.67,28.07
2019-11-11,300800,29.61,30.02,31.37,29.02,96621,913752032.0,8.27,5.59,1.59,48.31
2019-11-12,300800,28.36,26.92,28.68,26.92,67209,577738528.0,5.86,-10.33,-3.1,33.6
2019-11-13,300800,26.36,26.95,27.58,25.74,67229,557899200.0,6.84,0.11,0.03,33.61
2019-11-14,300800,26.95,26.63,27.86,26.36,53800,452156656.0,5.57,-1.19,-0.32,26.9
2019-11-15,300800,25.83,23.93,26.19,23.87,68293,526984096.0,8.71,-10.14,-2.7,34.15
2019-11-18,300800,23.99,24.32,24.35,23.4,38638,288631776.0,3.97,1.63,0.39,19.32
2019-11-19,300800,24.24,25.48,25.54,23.89,49265,380973696.0,6.78,4.77,1.16,24.63
2019-11-20,300800,25.19,24.26,25.68,24.21,42415,327745776.0,5.77,-4.79,-1.22,21.21
2019-11-21,300800,24.43,24.81,25.18,23.79,37937,289327648.0,5.73,2.27,0.55,18.97
2019-11-22,300800,24.58,23.87,24.8,23.63,34272,258438472.0,4.72,-3.79,-0.94,17.14
2019-11-25,300800,23.86,22.38,23.96,22.32,33180,235615330.0,6.87,-6.24,-1.49,16.59
2019-11-26,300800,22.29,22.07,22.81,21.76,22771,159523679.0,4.69,-1.39,-0.31,11.39
2019-11-27,300800,21.87,22.33,22.35,21.4,19743,135513878.0,4.3,1.18,0.26,9.87
2019-11-28,300800,22.14,21.79,22.31,21.79,17050,117530982.0,2.33,-2.42,-0.54,8.53
2019-11-29,300800,21.66,22.28,22.34,21.38,23959,164298156.0,4.41,2.25,0.49,11.98
